"";"BloodID";"BirdID";"TestResult";"TestMethod";"Researcher";"CatchID";"BloodSource";"OccasionDate";"Island";"occasionyear";"birthyear";"birthday";"age";"ParasiteSequence";"MalariaConsensus";"Mismatches";"Ntests";"check";"SexEstimate";"OccasionID";"TerritoryID";"FieldPeriodID";"avg_invert";"BreedGroupID";"Status";"Observer";"PeriodStart";"PeriodEnd";"PeriodYear";"newstat";"lifespan";"newlifespan"
"1";2;1757;1;"T";"DLG";2802;"A";"2002-09-23";"CN";2002;2001;"2001-09-23";1;NA;1;0;2;TRUE;0;1117;58;41;NA;811;"BrF";"DR";"2002-07-11";"2002-10-02";2002;"Dom";3274;3274
"2";3;1523;1;"T";"DLG";2803;"A";"2002-09-23";"CN";2002;1999;"1999-06-17";3;NA;1;0;2;TRUE;1;1118;58;41;NA;811;"BrM";"DR";"2002-07-11";"2002-10-02";2002;"Dom";5219;5004
"3";4;1891;1;"T";"DLG";3140;"A";"2002-09-24";"CN";2002;2002;"2002-05-27";0;NA;1;0;2;TRUE;0;1119;128;41;NA;842;"OFL";"DR";"2002-07-11";"2002-10-02";2002;"Sub";1294;1294
"4";5;1759;1;"T";"DLG";2646;"A";"2002-09-25";"CN";2002;2001;"2001-09-25";1;NA;1;0;2;TRUE;1;1120;171;41;NA;853;"U";"DR";"2002-07-11";"2002-10-02";2002;"Sub";1803;1803
"5";6;1892;1;"T";"DLG";3144;"A";"2002-09-27";"CN";2002;2001;"2001-09-27";1;NA;1;0;2;TRUE;0;1121;82;41;NA;3269;"ABX";"DR";"2002-07-11";"2002-10-02";2002;"Sub";1445;370
"6";7;1894;1;"T";"DLG";3147;"A";"2002-09-27";"CN";2002;2002;"2002-01-30";0;NA;1;0;2;TRUE;1;1121;33;41;NA;3255;"ABX";"DR";"2002-07-11";"2002-10-02";2002;"Sub";580;245
"7";8;1760;1;"T";"DLG";2807;"A";"2002-10-02";"CN";2002;2001;"2001-10-02";1;NA;1;0;2;TRUE;0;1122;121;41;NA;3276;"BrF";"DR";"2002-07-11";"2002-10-02";2002;"Dom";1796;1796
"8";44;1761;1;"T";"DR";2959;"A";"2003-02-20";"CN";2003;2002;"2002-07-16";1;NA;1;0;1;TRUE;1;1123;15;0;NA;NA;NA;NA;NA;NA;NA;"Sub";78;78
"9";45;1705;0;"T";"DR";2997;"A";"2003-06-07";"CN";2003;2002;"2002-08-06";1;NA;0;0;1;TRUE;0;1124;1;30;3,65308711307692;444;"H";NA;"2003-06-06";"2003-09-02";2003;"Sub";1223;1223
"10";46;912;0;"T";"DR";2948;"A";"2003-06-07";"CN";2003;1994;"1994-05-22";9;NA;0;0;1;TRUE;0;1124;1;30;3,65308711307692;444;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";5222;5222
"11";47;1762;1;"T";"DR";2973;"A";"2003-06-07";"CN";2003;2002;"2002-10-10";1;NA;1;0;1;TRUE;1;1124;2;30;3,65308711307692;445;"B";NA;"2003-06-06";"2003-09-02";2003;"Sub";NA;6367
"12";48;1287;0;"T";"DR";2914;"A";"2003-06-08";"CN";2003;1997;"1997-11-15";6;NA;0;0;1;TRUE;1;1125;3;30;3,65308711307692;446;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";2948;2948
"13";49;1763;1;"T";"DR";2974;"A";"2003-06-08";"CN";2003;2002;"2002-06-08";1;NA;1;0;1;TRUE;0;1125;3;30;3,65308711307692;446;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";4287;4132
"14";50;1764;1;"T";"DR";2975;"A";"2003-06-08";"CN";2003;2003;"2003-03-10";0;NA;1;0;1;TRUE;0;1125;40;30;3,65308711307692;472;"ABX";NA;"2003-06-06";"2003-09-02";2003;"Sub";916;916
"15";51;1222;0;"T";"DR";2861;"A";"2003-06-08";"CN";2003;1997;"1997-11-15";6;NA;0;0;1;TRUE;0;1125;40;30;3,65308711307692;472;"BrF";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;1782
"16";52;1684;1;"T";"DR";3002;"A";"2003-06-08";"CN";2003;2000;"2000-11-24";3;NA;1;0;1;TRUE;1;1125;40;30;3,65308711307692;472;"BrM";NA;"2003-06-06";"2003-09-02";2003;"Dom";NA;677
"17";53;1695;0;"T";"DR";3004;"A";"2003-06-10";"CN";2003;2001;"2001-09-12";2;NA;0;0;1;TRUE;1;1126;45;30;3,65308711307692;NA;NA;NA;NA;NA;NA;"Sub";NA;385
