"","BirdID","chickyear","ars","NestID","sex","birthyear","birthday","parent_age","lifespan","minrepro","maxrepro","minreproage","maxreproage","FieldPeriodID","Status","BreedGroupID","TerritoryID","Island","PeriodStart","PeriodEnd","PeriodYear","newstat","Year","TerritoryNumber","TQ","TQcorrected","flno","newlifespan"
"1",436,1999,1,483,1,1992,"1992-12-10",7,2803,1995,1999,3,7,26,"BrM",2439,73,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,51,1408.137408,1408.137408,298,2803
"2",436,1996,0,NA,1,1992,"1992-12-10",4,2803,1995,1999,3,7,21,"BrM",2243,73,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,51,25156.54344,25156.54344,123,2803
"3",436,1993,0,NA,1,1992,"1992-12-10",1,2803,1995,1999,3,7,16,"AB",1929,40,"CN","1993-08-07","1993-08-13",1993,"Sub",NA,NA,NA,NA,108,2803
"4",436,2000,0,NA,1,1992,"1992-12-10",8,2803,1995,1999,3,7,39,"BrM",3076,73,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,2803
"5",436,1994,0,NA,1,1992,"1992-12-10",2,2803,1995,1999,3,7,17,"AB",1989,21,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,2803
"6",436,1997,1,260,1,1992,"1992-12-10",5,2803,1995,1999,3,7,22,"BrM",60,73,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,51,36774.26269,36774.26269,254,2803
"7",436,1998,0,NA,1,1992,"1992-12-10",6,2803,1995,1999,3,7,23,"BrM",149,73,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,51,59691.32372,59691.32372,186,2803
"8",436,1995,1,NA,1,1992,"1992-12-10",3,2803,1995,1999,3,7,19,"BrM",2119,73,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,2803
"9",444,2001,1,NA,0,1992,"1992-12-11",9,3582,1994,2001,2,9,40,"BrF",3161,35,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,3149
"10",444,1993,0,NA,0,1992,"1992-12-11",1,3582,1994,2001,2,9,16,"AB",1933,52,"CN","1993-08-07","1993-08-13",1993,"Sub",NA,NA,NA,NA,108,3149
"11",444,1994,1,NA,0,1992,"1992-12-11",2,3582,1994,2001,2,9,17,"BrF",1995,35,"CN","1994-07-07","1994-07-29",1994,"Dom",NA,NA,NA,NA,140,3149
"12",444,1997,0,NA,0,1992,"1992-12-11",5,3582,1994,2001,2,9,22,"BrF",2303,35,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,26.1,156739.7103,156739.7103,254,3149
"13",444,1999,1,420,0,1992,"1992-12-11",7,3582,1994,2001,2,9,26,"BrF",2417,35,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,26.1,15258.32803,15258.32803,298,3149
"14",444,1995,0,NA,0,1992,"1992-12-11",3,3582,1994,2001,2,9,19,"BrF",2098,35,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,3149
"15",444,2000,0,NA,0,1992,"1992-12-11",8,3582,1994,2001,2,9,39,"BrF",3050,35,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,3149
"16",444,1996,1,NA,0,1992,"1992-12-11",4,3582,1994,2001,2,9,21,"BrF",2218,35,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,26.1,86614.03618,86614.03618,123,3149
"17",444,1998,1,204,0,1992,"1992-12-11",6,3582,1994,2001,2,9,23,"BrF",2316,35,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,26.1,62134.18519,62134.18519,186,3149
"18",449,1994,0,NA,0,1992,"1992-08-09",2,2926,1996,1996,4,4,17,"ABX",2007,56,"CN","1994-07-07","1994-07-29",1994,"Sub",NA,NA,NA,NA,140,2926
"19",449,1996,1,NA,0,1992,"1992-08-09",4,2926,1996,1996,4,4,21,"BrF",2233,57,"CN","1996-06-24","1996-08-11",1996,"Dom",1996,41,59280.31859,59280.31859,123,2926
"20",449,2000,0,NA,0,1992,"1992-08-09",8,2926,1996,1996,4,4,39,"ABX",3061,52,"CN","2000-07-25","2000-08-13",2000,"Sub",NA,NA,NA,NA,82,2926
"21",449,1998,0,NA,0,1992,"1992-08-09",6,2926,1996,1996,4,4,23,"BrF",2321,52,"CN","1997-12-20","1998-03-28",1998,"Dom",1998,36,38099.95994,38099.95994,186,2926
"22",449,1997,0,NA,0,1992,"1992-08-09",5,2926,1996,1996,4,4,22,"BrF",44,52,"CN","1997-07-01","1997-08-28",1997,"Dom",1997,36,65338.04155,65338.04155,254,2926
"23",449,1999,0,NA,0,1992,"1992-08-09",7,2926,1996,1996,4,4,26,"BrF",2424,52,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,36,0,0,298,2926
"24",449,1993,0,NA,0,1992,"1992-08-09",1,2926,1996,1996,4,4,16,"ABX",1937,56,"CN","1993-08-07","1993-08-13",1993,"Sub",NA,NA,NA,NA,108,2926
"25",449,1995,0,NA,0,1992,"1992-08-09",3,2926,1996,1996,4,4,19,"BrF",2111,57,"CN","1995-05-22","1995-09-14",1995,"Dom",NA,NA,NA,NA,83,2926
"26",459,2002,1,NA,0,1992,"1992-08-11",10,5284,1994,2003,2,11,41,"BrF",810,55,"CN","2002-07-11","2002-10-02",2002,"Dom",NA,NA,NA,NA,181,5284
"27",459,1996,1,NA,0,1992,"1992-08-11",4,5284,1994,2003,2,11,21,"H",2231,55,"CN","1996-06-24","1996-08-11",1996,"Sub",1996,39,110711.5183,110711.5183,123,5284
"28",459,2007,0,NA,0,1992,"1992-08-11",15,5284,1994,2003,2,11,77,"BrF",3918,55,"CN","2007-01-06","2007-01-29",2007,"Dom",NA,NA,NA,NA,74,5284
"29",459,1995,1,NA,0,1992,"1992-08-11",3,5284,1994,2003,2,11,19,"ABX",2109,55,"CN","1995-05-22","1995-09-14",1995,"Sub",NA,NA,NA,NA,83,5284
"30",459,2000,0,NA,0,1992,"1992-08-11",8,5284,1994,2003,2,11,39,"BrF",3064,55,"CN","2000-07-25","2000-08-13",2000,"Dom",NA,NA,NA,NA,82,5284
"31",459,2004,0,NA,0,1992,"1992-08-11",12,5284,1994,2003,2,11,32,"BrF",2748,55,"CN","2004-05-17","2004-05-29",2004,"Dom",NA,NA,NA,NA,126,5284
"32",459,1997,1,NA,0,1992,"1992-08-11",5,5284,1994,2003,2,11,22,"ABX",47,55,"CN","1997-07-01","1997-08-28",1997,"Sub",1997,39,196942.6667,196942.6667,254,5284
"33",459,2001,0,NA,0,1992,"1992-08-11",9,5284,1994,2003,2,11,40,"BrF",3177,55,"CN","2001-06-29","2001-07-26",2001,"Dom",NA,NA,NA,NA,97,5284
"34",459,1999,3,NA,0,1992,"1992-08-11",7,5284,1994,2003,2,11,26,"BrF",2426,55,"CN","1999-01-12","1999-01-29",1999,"Dom",1999,39,23182.23836,23182.23836,298,5284
"35",459,2005,0,NA,0,1992,"1992-08-11",13,5284,1994,2003,2,11,35,"BrF",2909,55,"CN","2004-12-18","2005-01-12",2005,"Dom",2005,39,NA,NA,208,5284
